market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-RENDER,2025-01-27T13:30:00,2025-01-27T22:30:00,9329,9340,9280,9332,1737984787839,25453734.53095649,2735.4952595,30
KRW-RENDER,2025-01-27T13:00:00,2025-01-27T22:00:00,9302,9500,9200,9343,1737984599587,452512526.56751084,48328.88156159,30
KRW-RENDER,2025-01-27T12:30:00,2025-01-27T21:30:00,9010,9350,9001,9302,1737982796286,457045481.5119813,49549.29368514,30
KRW-RENDER,2025-01-27T12:00:00,2025-01-27T21:00:00,9093,9125,8980,9010,1737980988747,764943752.2348732,84586.10254481,30
KRW-RENDER,2025-01-27T11:30:00,2025-01-27T20:30:00,9239,9260,9078,9078,1737979196086,240186536.2301189,26287.95318057,30
KRW-RENDER,2025-01-27T11:00:00,2025-01-27T20:00:00,9126,9255,9111,9238,1737977399722,209634166.7742043,22890.99645785,30
KRW-RENDER,2025-01-27T10:30:00,2025-01-27T19:30:00,9246,9246,9111,9126,1737975597673,436167393.80552435,47577.53249138,30
KRW-RENDER,2025-01-27T10:00:00,2025-01-27T19:00:00,9366,9366,9246,9246,1737973763976,116603482.29741848,12549.22678421,30
KRW-RENDER,2025-01-27T09:30:00,2025-01-27T18:30:00,9300,9369,9294,9368,1737971965919,103173644.49194312,11067.40298855,30
KRW-RENDER,2025-01-27T09:00:00,2025-01-27T18:00:00,9260,9400,9220,9300,1737970184347,178134586.40212592,19131.07449768,30
KRW-RENDER,2025-01-27T08:30:00,2025-01-27T17:30:00,9301,9301,9170,9264,1737968370118,193553220.5943821,20992.04614866,30
KRW-RENDER,2025-01-27T08:00:00,2025-01-27T17:00:00,9401,9401,9200,9300,1737966584063,302948336.34541684,32669.78815784,30
KRW-RENDER,2025-01-27T07:30:00,2025-01-27T16:30:00,9179,9434,9170,9401,1737964788045,749705165.1748569,80814.27200241,30
KRW-RENDER,2025-01-27T07:00:00,2025-01-27T16:00:00,9454,9500,9180,9180,1737962998590,698411381.5957865,74779.1925229,30
KRW-RENDER,2025-01-27T06:30:00,2025-01-27T15:30:00,9586,9587,9439,9452,1737961192727,533467602.2552356,56111.96259904,30
KRW-RENDER,2025-01-27T06:00:00,2025-01-27T15:00:00,9660,9689,9582,9586,1737959394179,268480106.07989997,27879.75289329,30
KRW-RENDER,2025-01-27T05:30:00,2025-01-27T14:30:00,9679,9693,9579,9660,1737957598191,359871063.58730924,37386.42592646,30
KRW-RENDER,2025-01-27T05:00:00,2025-01-27T14:00:00,9725,9752,9658,9679,1737955796649,349824713.81210583,36055.25801518,30
KRW-RENDER,2025-01-27T04:30:00,2025-01-27T13:30:00,9775,9813,9705,9725,1737953998022,335134428.7159738,34345.38228777,30
KRW-RENDER,2025-01-27T04:00:00,2025-01-27T13:00:00,9900,9900,9770,9776,1737952185468,369247787.09528226,37643.12104603,30
KRW-RENDER,2025-01-27T03:30:00,2025-01-27T12:30:00,9943,9943,9897,9908,1737950367022,116631076.15435737,11765.27040173,30
KRW-RENDER,2025-01-27T03:00:00,2025-01-27T12:00:00,9835,9980,9835,9955,1737948579547,69887546.55635028,7063.1436659,30
KRW-RENDER,2025-01-27T02:30:00,2025-01-27T11:30:00,9895,9910,9828,9835,1737946791165,320569157.9210117,32512.12489369,30
KRW-RENDER,2025-01-27T02:00:00,2025-01-27T11:00:00,9941,9981,9895,9895,1737944997890,437055435.5522459,44072.23700473,30
KRW-RENDER,2025-01-27T01:30:00,2025-01-27T10:30:00,10050,10110,9939,9950,1737943195848,536110646.0148215,53732.5287265,30
KRW-RENDER,2025-01-27T01:00:00,2025-01-27T10:00:00,10110,10150,10000,10060,1737941395647,279173822.4466552,27705.42069949,30
KRW-RENDER,2025-01-27T00:30:00,2025-01-27T09:30:00,10220,10220,10100,10110,1737939586409,211418084.0113698,20831.01536057,30
KRW-RENDER,2025-01-27T00:00:00,2025-01-27T09:00:00,10250,10320,10170,10240,1737937787875,238017878.0502817,23282.35851087,30
KRW-RENDER,2025-01-26T23:30:00,2025-01-27T08:30:00,10310,10310,10240,10240,1737935986222,131211471.5336839,12797.12415193,30
KRW-RENDER,2025-01-26T23:00:00,2025-01-27T08:00:00,10350,10350,10250,10310,1737934196512,248970569.8509788,24182.51207773,30
KRW-RENDER,2025-01-26T22:30:00,2025-01-27T07:30:00,10370,10410,10340,10350,1737932349651,37301824.357799,3596.77477777,30
KRW-RENDER,2025-01-26T22:00:00,2025-01-27T07:00:00,10350,10360,10290,10360,1737930565767,73530708.5749731,7124.67069924,30
KRW-RENDER,2025-01-26T21:30:00,2025-01-27T06:30:00,10410,10410,10350,10350,1737928798715,26743274.6080416,2580.15854262,30
KRW-RENDER,2025-01-26T21:00:00,2025-01-27T06:00:00,10400,10410,10370,10400,1737926975666,33311453.1206486,3206.37107434,30
KRW-RENDER,2025-01-26T20:30:00,2025-01-27T05:30:00,10510,10510,10400,10400,1737924765801,63519097.4001843,6081.65925399,30
KRW-RENDER,2025-01-26T20:00:00,2025-01-27T05:00:00,10480,10500,10480,10500,1737923153016,4836986.018539,460.94742478,30
KRW-RENDER,2025-01-26T19:30:00,2025-01-27T04:30:00,10490,10500,10470,10470,1737921586631,7839306.0489895,746.88860653,30
KRW-RENDER,2025-01-26T19:00:00,2025-01-27T04:00:00,10480,10520,10470,10470,1737919687342,2442487.1935367,232.99052266,30
KRW-RENDER,2025-01-26T18:30:00,2025-01-27T03:30:00,10510,10540,10480,10480,1737917817317,14091598.0818019,1339.54119406,30
KRW-RENDER,2025-01-26T18:00:00,2025-01-27T03:00:00,10480,10530,10460,10520,1737916027228,4008900.3483181,381.84177943,30
KRW-RENDER,2025-01-26T17:30:00,2025-01-27T02:30:00,10450,10500,10440,10500,1737913674435,3154170.2473858,301.63041361,30
KRW-RENDER,2025-01-26T17:00:00,2025-01-27T02:00:00,10470,10480,10430,10440,1737912538483,9793224.48713,937.3601292,30
KRW-RENDER,2025-01-26T16:30:00,2025-01-27T01:30:00,10460,10490,10440,10460,1737910511144,15143415.9140988,1448.46249712,30
KRW-RENDER,2025-01-26T16:00:00,2025-01-27T01:00:00,10460,10460,10400,10430,1737908967889,64716864.6748935,6211.86720198,30
KRW-RENDER,2025-01-26T15:30:00,2025-01-27T00:30:00,10500,10500,10430,10450,1737907180289,60897823.8239359,5821.75734479,30
KRW-RENDER,2025-01-26T15:00:00,2025-01-27T00:00:00,10480,10530,10410,10500,1737905371965,95934313.6231661,9173.69353833,30
KRW-RENDER,2025-01-26T14:30:00,2025-01-26T23:30:00,10570,10570,10480,10480,1737903595466,80937083.6807537,7691.47682388,30
KRW-RENDER,2025-01-26T14:00:00,2025-01-26T23:00:00,10620,10640,10560,10560,1737901789850,45969884.2987937,4339.39398417,30
KRW-RENDER,2025-01-26T13:30:00,2025-01-26T22:30:00,10630,10670,10610,10620,1737899994681,52677514.1553664,4956.04675181,30
KRW-RENDER,2025-01-26T13:00:00,2025-01-26T22:00:00,10600,10650,10600,10640,1737898182034,88330521.6275766,8323.23031014,30
KRW-RENDER,2025-01-26T12:30:00,2025-01-26T21:30:00,10550,10620,10530,10600,1737896399952,96482111.7341069,9109.9876556,30
KRW-RENDER,2025-01-26T12:00:00,2025-01-26T21:00:00,10600,10600,10550,10570,1737894436699,13748933.4218342,1301.24217738,30
KRW-RENDER,2025-01-26T11:30:00,2025-01-26T20:30:00,10530,10630,10530,10610,1737892770370,8026589.852447,757.5430335,30
KRW-RENDER,2025-01-26T11:00:00,2025-01-26T20:00:00,10560,10580,10530,10530,1737890813952,59052858.3143258,5590.24812138,30
KRW-RENDER,2025-01-26T10:30:00,2025-01-26T19:30:00,10580,10590,10490,10530,1737889131395,17342687.0787439,1644.40724518,30
KRW-RENDER,2025-01-26T10:00:00,2025-01-26T19:00:00,10560,10610,10560,10590,1737887392793,33938692.4474581,3207.16783073,30
KRW-RENDER,2025-01-26T09:30:00,2025-01-26T18:30:00,10560,10560,10500,10550,1737885576597,62897742.0900095,5966.59543346,30
KRW-RENDER,2025-01-26T09:00:00,2025-01-26T18:00:00,10610,10620,10540,10540,1737883708463,11916527.0106209,1125.90523352,30
KRW-RENDER,2025-01-26T08:30:00,2025-01-26T17:30:00,10630,10670,10590,10640,1737881993616,90913437.0498414,8558.06101909,30
KRW-RENDER,2025-01-26T08:00:00,2025-01-26T17:00:00,10680,10740,10630,10640,1737880127286,148993786.32004,13941.14402347,30
KRW-RENDER,2025-01-26T07:30:00,2025-01-26T16:30:00,10580,10700,10540,10690,1737878391557,53691868.4172484,5063.25022937,30
KRW-RENDER,2025-01-26T07:00:00,2025-01-26T16:00:00,10550,10600,10550,10560,1737876398457,33762843.0575515,3192.51249357,30
KRW-RENDER,2025-01-26T06:30:00,2025-01-26T15:30:00,10540,10580,10540,10580,1737874727567,4035410.4460023,382.49905587,30
KRW-RENDER,2025-01-26T06:00:00,2025-01-26T15:00:00,10560,10580,10520,10520,1737872974230,36525893.1374108,3468.59127718,30
KRW-RENDER,2025-01-26T05:30:00,2025-01-26T14:30:00,10520,10570,10490,10550,1737871089497,50272965.8609285,4772.40576477,30
KRW-RENDER,2025-01-26T05:00:00,2025-01-26T14:00:00,10610,10610,10510,10520,1737869123342,59187835.7380809,5614.48954646,30
KRW-RENDER,2025-01-26T04:30:00,2025-01-26T13:30:00,10630,10650,10570,10610,1737867599958,19953536.8500236,1880.44868555,30
KRW-RENDER,2025-01-26T04:00:00,2025-01-26T13:00:00,10560,10650,10530,10650,1737865752480,33113480.4120229,3124.43477005,30
KRW-RENDER,2025-01-26T03:30:00,2025-01-26T12:30:00,10550,10590,10500,10540,1737863868237,31404322.4504116,2973.0570069,30
KRW-RENDER,2025-01-26T03:00:00,2025-01-26T12:00:00,10490,10550,10490,10550,1737862174980,26680102.649789,2538.11498001,30
KRW-RENDER,2025-01-26T02:30:00,2025-01-26T11:30:00,10480,10500,10430,10490,1737860348441,32277265.9797373,3082.66880671,30
KRW-RENDER,2025-01-26T02:00:00,2025-01-26T11:00:00,10490,10490,10440,10470,1737858453900,84937801.4952241,8114.35496925,30
KRW-RENDER,2025-01-26T01:30:00,2025-01-26T10:30:00,10550,10550,10480,10490,1737856712797,26199521.2813021,2494.64726181,30
KRW-RENDER,2025-01-26T01:00:00,2025-01-26T10:00:00,10520,10560,10510,10550,1737854971422,38398705.1566358,3646.83889773,30
KRW-RENDER,2025-01-26T00:30:00,2025-01-26T09:30:00,10520,10560,10510,10520,1737853193695,29266944.8679209,2778.61325756,30
KRW-RENDER,2025-01-26T00:00:00,2025-01-26T09:00:00,10480,10540,10400,10520,1737851342712,50010479.7623312,4769.94580304,30
KRW-RENDER,2025-01-25T23:30:00,2025-01-26T08:30:00,10500,10520,10440,10480,1737849539122,22082048.6437525,2109.71132945,30
KRW-RENDER,2025-01-25T23:00:00,2025-01-26T08:00:00,10490,10550,10470,10500,1737847784446,67998061.4435384,6469.88382884,30
KRW-RENDER,2025-01-25T22:30:00,2025-01-26T07:30:00,10500,10510,10460,10490,1737845782933,10141099.7142462,966.60273814,30
KRW-RENDER,2025-01-25T22:00:00,2025-01-26T07:00:00,10450,10540,10450,10500,1737843892772,23869156.0724085,2275.37024928,30
KRW-RENDER,2025-01-25T21:30:00,2025-01-26T06:30:00,10430,10450,10420,10450,1737842160694,10734914.2857642,1027.82156162,30
KRW-RENDER,2025-01-25T21:00:00,2025-01-26T06:00:00,10410,10440,10400,10420,1737840272181,46985609.9416958,4512.653668,30
KRW-RENDER,2025-01-25T20:30:00,2025-01-26T05:30:00,10480,10480,10420,10420,1737838793606,11015289.7452252,1055.14914258,30
KRW-RENDER,2025-01-25T20:00:00,2025-01-26T05:00:00,10470,10480,10440,10480,1737836959886,17316820.6252177,1655.03235629,30
KRW-RENDER,2025-01-25T19:30:00,2025-01-26T04:30:00,10460,10500,10440,10460,1737834970844,3867096.2405197,370.11954667,30
KRW-RENDER,2025-01-25T19:00:00,2025-01-26T04:00:00,10470,10500,10440,10440,1737833384610,4677654.7843238,446.96540627,30
KRW-RENDER,2025-01-25T18:30:00,2025-01-26T03:30:00,10470,10520,10440,10460,1737831280236,5419925.6317691,518.20986598,30
KRW-RENDER,2025-01-25T18:00:00,2025-01-26T03:00:00,10510,10550,10440,10470,1737829763986,8626372.2850336,822.72435181,30
KRW-RENDER,2025-01-25T17:30:00,2025-01-26T02:30:00,10490,10510,10440,10510,1737827920962,39163535.1815294,3736.78408381,30
KRW-RENDER,2025-01-25T17:00:00,2025-01-26T02:00:00,10460,10500,10450,10480,1737826122253,34826926.40739,3323.46281393,30
KRW-RENDER,2025-01-25T16:30:00,2025-01-26T01:30:00,10420,10440,10380,10440,1737824331311,8045279.9264533,772.74389132,30
KRW-RENDER,2025-01-25T16:00:00,2025-01-26T01:00:00,10460,10500,10410,10410,1737822432432,39322909.4829637,3751.04158706,30
KRW-RENDER,2025-01-25T15:30:00,2025-01-26T00:30:00,10430,10470,10430,10460,1737820760761,87551928.7462311,8382.36703997,30
KRW-RENDER,2025-01-25T15:00:00,2025-01-26T00:00:00,10370,10470,10360,10440,1737818975486,38419603.5480847,3683.49383132,30
KRW-RENDER,2025-01-25T14:30:00,2025-01-25T23:30:00,10350,10370,10300,10360,1737816983728,82387047.7031147,7967.51153667,30
KRW-RENDER,2025-01-25T14:00:00,2025-01-25T23:00:00,10340,10380,10290,10350,1737815289964,37953364.763808,3672.01641315,30
KRW-RENDER,2025-01-25T13:30:00,2025-01-25T22:30:00,10380,10400,10330,10340,1737813461496,13260852.3362584,1279.72518742,30
KRW-RENDER,2025-01-25T13:00:00,2025-01-25T22:00:00,10330,10400,10330,10380,1737811796926,26124392.7766291,2520.2462661,30
KRW-RENDER,2025-01-25T12:30:00,2025-01-25T21:30:00,10290,10330,10260,10320,1737809996770,57469284.7887391,5570.95843237,30
KRW-RENDER,2025-01-25T12:00:00,2025-01-25T21:00:00,10280,10320,10260,10260,1737808154101,27057721.1294267,2635.79775135,30
KRW-RENDER,2025-01-25T11:30:00,2025-01-25T20:30:00,10250,10320,10240,10310,1737806390822,23668579.626677,2302.83418997,30
KRW-RENDER,2025-01-25T11:00:00,2025-01-25T20:00:00,10250,10290,10230,10260,1737804493040,50117282.2469654,4885.74997775,30
KRW-RENDER,2025-01-25T10:30:00,2025-01-25T19:30:00,10190,10280,10160,10250,1737802707203,57082157.1454386,5574.33939188,30
KRW-RENDER,2025-01-25T10:00:00,2025-01-25T19:00:00,10160,10220,10140,10190,1737800975201,83965755.481666,8258.61376967,30
KRW-RENDER,2025-01-25T09:30:00,2025-01-25T18:30:00,10180,10210,10150,10160,1737799188276,86066503.2640288,8461.65437041,30
KRW-RENDER,2025-01-25T09:00:00,2025-01-25T18:00:00,10210,10240,10170,10190,1737797397950,43722539.613339,4282.72190931,30
KRW-RENDER,2025-01-25T08:30:00,2025-01-25T17:30:00,10250,10260,10190,10240,1737795592473,99871086.9108797,9783.22397796,30
KRW-RENDER,2025-01-25T08:00:00,2025-01-25T17:00:00,10270,10280,10210,10250,1737793786345,84966175.9020875,8297.81528393,30
KRW-RENDER,2025-01-25T07:30:00,2025-01-25T16:30:00,10320,10330,10270,10270,1737791947443,58190223.2043909,5655.54603435,30
KRW-RENDER,2025-01-25T07:00:00,2025-01-25T16:00:00,10300,10330,10290,10330,1737790165674,30220109.8849859,2932.0935546,30
KRW-RENDER,2025-01-25T06:30:00,2025-01-25T15:30:00,10350,10350,10310,10310,1737788283887,118471303.6403831,11475.68706833,30
KRW-RENDER,2025-01-25T06:00:00,2025-01-25T15:00:00,10360,10410,10320,10350,1737786557811,79639748.9746361,7688.77649709,30
KRW-RENDER,2025-01-25T05:30:00,2025-01-25T14:30:00,10380,10420,10350,10380,1737784726603,22738585.259049,2189.62721767,30
KRW-RENDER,2025-01-25T05:00:00,2025-01-25T14:00:00,10380,10380,10320,10380,1737782989882,46864470.5987174,4529.16616548,30
KRW-RENDER,2025-01-25T04:30:00,2025-01-25T13:30:00,10380,10400,10340,10380,1737781146147,20764671.4203761,2001.52614647,30
KRW-RENDER,2025-01-25T04:00:00,2025-01-25T13:00:00,10430,10450,10380,10380,1737779315874,63543048.5562679,6112.68675066,30
KRW-RENDER,2025-01-25T03:30:00,2025-01-25T12:30:00,10400,10470,10390,10430,1737777583486,33890769.984839,3252.36740327,30
KRW-RENDER,2025-01-25T03:00:00,2025-01-25T12:00:00,10360,10400,10350,10390,1737775759941,28737025.3052258,2774.81766384,30
KRW-RENDER,2025-01-25T02:30:00,2025-01-25T11:30:00,10380,10400,10360,10360,1737773919192,35957127.9728146,3463.35344587,30
KRW-RENDER,2025-01-25T02:00:00,2025-01-25T11:00:00,10370,10400,10340,10370,1737772023997,36939156.7496456,3564.90090545,30
KRW-RENDER,2025-01-25T01:30:00,2025-01-25T10:30:00,10380,10400,10350,10400,1737770386328,51108396.4390661,4928.18959606,30
KRW-RENDER,2025-01-25T01:00:00,2025-01-25T10:00:00,10250,10380,10230,10370,1737768563439,131095921.497937,12716.82175221,30
KRW-RENDER,2025-01-25T00:30:00,2025-01-25T09:30:00,10260,10270,10220,10250,1737766796446,66114950.8781296,6458.560627,30
KRW-RENDER,2025-01-25T00:00:00,2025-01-25T09:00:00,10310,10340,10250,10250,1737764956106,129672819.8953571,12619.8467239,30
KRW-RENDER,2025-01-24T23:30:00,2025-01-25T08:30:00,10280,10360,10260,10340,1737763192254,42305526.4575834,4111.2477388,30
KRW-RENDER,2025-01-24T23:00:00,2025-01-25T08:00:00,10340,10350,10250,10290,1737761380124,93362248.5427165,9063.4832998,30
KRW-RENDER,2025-01-24T22:30:00,2025-01-25T07:30:00,10400,10430,10340,10340,1737759555659,23491797.452738,2264.28676645,30
KRW-RENDER,2025-01-24T22:00:00,2025-01-25T07:00:00,10370,10480,10350,10400,1737757693708,18156370.9821831,1744.43413266,30
KRW-RENDER,2025-01-24T21:30:00,2025-01-25T06:30:00,10420,10430,10390,10400,1737755739358,38405719.2641896,3692.40658726,30
KRW-RENDER,2025-01-24T21:00:00,2025-01-25T06:00:00,10360,10430,10320,10430,1737754066549,90588552.75375,8706.1004561,30
KRW-RENDER,2025-01-24T20:30:00,2025-01-25T05:30:00,10440,10450,10340,10360,1737752386384,46110842.864605,4442.81577109,30
KRW-RENDER,2025-01-24T20:00:00,2025-01-25T05:00:00,10500,10520,10440,10460,1737750474754,10106091.7407544,964.70859856,30
KRW-RENDER,2025-01-24T19:30:00,2025-01-25T04:30:00,10550,10570,10460,10500,1737748635369,29086499.0948959,2768.54961532,30
KRW-RENDER,2025-01-24T19:00:00,2025-01-25T04:00:00,10550,10560,10520,10520,1737746430271,6401109.7839887,607.31936174,30
KRW-RENDER,2025-01-24T18:30:00,2025-01-25T03:30:00,10580,10600,10520,10520,1737745069336,18424899.3045493,1748.66135154,30
KRW-RENDER,2025-01-24T18:00:00,2025-01-25T03:00:00,10580,10640,10550,10570,1737743269856,12509136.9031306,1183.03096771,30
KRW-RENDER,2025-01-24T17:30:00,2025-01-25T02:30:00,10600,10630,10590,10630,1737741064932,43185557.557284,4068.75505913,30
KRW-RENDER,2025-01-24T17:00:00,2025-01-25T02:00:00,10530,10620,10500,10580,1737739647825,46108652.9535324,4381.23421004,30
KRW-RENDER,2025-01-24T16:30:00,2025-01-25T01:30:00,10600,10620,10530,10530,1737737984828,8831295.9142019,834.39949441,30
KRW-RENDER,2025-01-24T16:00:00,2025-01-25T01:00:00,10640,10640,10570,10600,1737736119474,22998834.6644556,2169.98403389,30
KRW-RENDER,2025-01-24T15:30:00,2025-01-25T00:30:00,10630,10640,10510,10640,1737734331533,80756472.5952997,7636.88129443,30
KRW-RENDER,2025-01-24T15:00:00,2025-01-25T00:00:00,10750,10750,10610,10630,1737732596886,43120481.7185801,4048.07614976,30
KRW-RENDER,2025-01-24T14:30:00,2025-01-24T23:30:00,10760,10770,10630,10700,1737730680964,93527424.0460643,8725.82237711,30
KRW-RENDER,2025-01-24T14:00:00,2025-01-24T23:00:00,10720,10770,10700,10770,1737728997976,47739255.2192167,4448.56713794,30
KRW-RENDER,2025-01-24T13:30:00,2025-01-24T22:30:00,10700,10760,10680,10720,1737727115697,30169592.2906623,2816.80796761,30
KRW-RENDER,2025-01-24T13:00:00,2025-01-24T22:00:00,10700,10780,10690,10700,1737725399921,131682394.7803654,12280.09200724,30
KRW-RENDER,2025-01-24T12:30:00,2025-01-24T21:30:00,10660,10700,10610,10670,1737723447904,88561351.5838903,8326.34885668,30
KRW-RENDER,2025-01-24T12:00:00,2025-01-24T21:00:00,10740,10770,10650,10660,1737721790687,96355801.6313826,9015.21320352,30
KRW-RENDER,2025-01-24T11:30:00,2025-01-24T20:30:00,10770,10780,10690,10720,1737719931292,77134256.9059321,7191.55924032,30
KRW-RENDER,2025-01-24T11:00:00,2025-01-24T20:00:00,10760,10840,10760,10770,1737718200032,193220949.0643469,17919.36755441,30
KRW-RENDER,2025-01-24T10:30:00,2025-01-24T19:30:00,10680,10810,10680,10760,1737716320662,175379706.6815929,16312.20081867,30
KRW-RENDER,2025-01-24T10:00:00,2025-01-24T19:00:00,10640,10740,10640,10720,1737714589744,88599791.9756649,8281.47334778,30
KRW-RENDER,2025-01-24T09:30:00,2025-01-24T18:30:00,10670,10680,10590,10650,1737712762404,62746109.7567295,5901.93560697,30
KRW-RENDER,2025-01-24T09:00:00,2025-01-24T18:00:00,10700,10720,10670,10670,1737710990267,38147994.323919,3565.49209884,30
KRW-RENDER,2025-01-24T08:30:00,2025-01-24T17:30:00,10650,10700,10610,10680,1737709161120,112754377.6782259,10582.07649455,30
KRW-RENDER,2025-01-24T08:00:00,2025-01-24T17:00:00,10510,10650,10500,10650,1737707363355,98988609.1831919,9367.48346043,30
KRW-RENDER,2025-01-24T07:30:00,2025-01-24T16:30:00,10570,10580,10510,10510,1737705505615,101101346.8493819,9595.03844382,30
KRW-RENDER,2025-01-24T07:00:00,2025-01-24T16:00:00,10600,10650,10550,10580,1737703797236,93923830.2575306,8848.82215878,30
KRW-RENDER,2025-01-24T06:30:00,2025-01-24T15:30:00,10650,10670,10580,10600,1737701894209,36754597.0821452,3462.67932184,30
KRW-RENDER,2025-01-24T06:00:00,2025-01-24T15:00:00,10750,10750,10650,10650,1737700147777,82109976.4241741,7690.35433997,30
KRW-RENDER,2025-01-24T05:30:00,2025-01-24T14:30:00,10610,10750,10580,10710,1737698395804,220606674.0585267,20726.58959697,30
KRW-RENDER,2025-01-24T05:00:00,2025-01-24T14:00:00,10560,10660,10520,10610,1737696596409,136262618.3979727,12863.25161427,30
KRW-RENDER,2025-01-24T04:30:00,2025-01-24T13:30:00,10420,10590,10420,10580,1737694774361,160218799.0413274,15266.48503965,30
KRW-RENDER,2025-01-24T04:00:00,2025-01-24T13:00:00,10360,10430,10330,10430,1737692749052,35421397.9584219,3412.77403043,30
KRW-RENDER,2025-01-24T03:30:00,2025-01-24T12:30:00,10340,10440,10340,10360,1737691178779,96010574.5249479,9250.36914681,30
KRW-RENDER,2025-01-24T03:00:00,2025-01-24T12:00:00,10210,10390,10190,10370,1737689358519,308506583.5605061,30005.49536264,30
KRW-RENDER,2025-01-24T02:30:00,2025-01-24T11:30:00,10210,10240,10160,10210,1737687591966,113449986.6266497,11126.83246426,30
KRW-RENDER,2025-01-24T02:00:00,2025-01-24T11:00:00,10290,10290,10200,10240,1737685784003,109911713.5703365,10736.11307082,30
KRW-RENDER,2025-01-24T01:30:00,2025-01-24T10:30:00,10410,10420,10260,10290,1737683944230,107019577.2191229,10358.26067136,30
KRW-RENDER,2025-01-24T01:00:00,2025-01-24T10:00:00,10320,10410,10310,10410,1737682183332,151711003.7984277,14643.98411665,30
KRW-RENDER,2025-01-24T00:30:00,2025-01-24T09:30:00,10530,10530,10320,10320,1737680387386,165183207.256604,15861.11093886,30
KRW-RENDER,2025-01-24T00:00:00,2025-01-24T09:00:00,10540,10600,10490,10500,1737678592210,147648401.8038618,14012.68292194,30
KRW-RENDER,2025-01-23T23:30:00,2025-01-24T08:30:00,10510,10580,10490,10530,1737676798403,55140274.0117734,5232.55575782,30
KRW-RENDER,2025-01-23T23:00:00,2025-01-24T08:00:00,10450,10540,10400,10510,1737674996901,37072434.2940523,3533.20743468,30
KRW-RENDER,2025-01-23T22:30:00,2025-01-24T07:30:00,10390,10470,10390,10460,1737673189526,20026919.2290563,1918.74043864,30
KRW-RENDER,2025-01-23T22:00:00,2025-01-24T07:00:00,10220,10400,10200,10390,1737671248015,40960048.2055812,3961.4127824,30
KRW-RENDER,2025-01-23T21:30:00,2025-01-24T06:30:00,10220,10250,10190,10240,1737669570752,48488338.809083,4745.15242428,30
KRW-RENDER,2025-01-23T21:00:00,2025-01-24T06:00:00,10310,10330,10150,10220,1737667798898,106569845.0530456,10394.49396549,30
KRW-RENDER,2025-01-23T20:30:00,2025-01-24T05:30:00,10430,10530,10290,10290,1737665969039,50690241.1914635,4845.22691973,30
KRW-RENDER,2025-01-23T20:00:00,2025-01-24T05:00:00,10190,10520,10140,10480,1737664078096,97752438.5493854,9545.90717325,30
KRW-RENDER,2025-01-23T19:30:00,2025-01-24T04:30:00,10210,10290,10140,10180,1737662396370,76613355.9629822,7533.59918022,30
KRW-RENDER,2025-01-23T19:00:00,2025-01-24T04:00:00,10290,10290,10180,10200,1737660346007,37972587.8229563,3716.39558088,30
KRW-RENDER,2025-01-23T18:30:00,2025-01-24T03:30:00,10400,10400,10300,10300,1737658780134,47287195.2946065,4586.32970523,30
KRW-RENDER,2025-01-23T18:00:00,2025-01-24T03:00:00,10480,10500,10380,10420,1737656997705,23520154.3909888,2254.82456708,30
KRW-RENDER,2025-01-23T17:30:00,2025-01-24T02:30:00,10410,10530,10410,10480,1737655157358,12401212.0380666,1187.53619119,30
KRW-RENDER,2025-01-23T17:00:00,2025-01-24T02:00:00,10410,10440,10330,10440,1737653352614,28455544.2455745,2745.20373218,30
KRW-RENDER,2025-01-23T16:30:00,2025-01-24T01:30:00,10480,10550,10400,10420,1737651463089,187863443.3413099,17930.72968694,30
KRW-RENDER,2025-01-23T16:00:00,2025-01-24T01:00:00,10400,10620,10400,10480,1737649763835,159152394.234084,15113.28980628,30
KRW-RENDER,2025-01-23T15:30:00,2025-01-24T00:30:00,10350,10460,10340,10380,1737647800586,42220648.6544496,4061.21282575,30
KRW-RENDER,2025-01-23T15:00:00,2025-01-24T00:00:00,10440,10500,10240,10320,1737646175524,228325537.2578826,22112.25669163,30
KRW-RENDER,2025-01-23T14:30:00,2025-01-23T23:30:00,10240,10540,10240,10400,1737644351898,174647629.248606,16788.573435,30
KRW-RENDER,2025-01-23T14:00:00,2025-01-23T23:00:00,10300,10300,10220,10240,1737642527882,66781229.2241028,6518.32930301,30
KRW-RENDER,2025-01-23T13:30:00,2025-01-23T22:30:00,10130,10320,10130,10310,1737640770090,133516562.6279446,13018.80812545,30
KRW-RENDER,2025-01-23T13:00:00,2025-01-23T22:00:00,10200,10220,10110,10130,1737638978584,126623878.3052099,12473.3001964,30
KRW-RENDER,2025-01-23T12:30:00,2025-01-23T21:30:00,10170,10230,10140,10180,1737637084583,69146939.4044636,6794.56216342,30
KRW-RENDER,2025-01-23T12:00:00,2025-01-23T21:00:00,10310,10310,10140,10160,1737635369737,71030120.7088183,6971.10033759,30
KRW-RENDER,2025-01-23T11:30:00,2025-01-23T20:30:00,10260,10330,10260,10310,1737633465020,51301899.4337874,4979.991635,30
KRW-RENDER,2025-01-23T11:00:00,2025-01-23T20:00:00,10220,10290,10200,10250,1737631691297,34116862.6011506,3327.64488194,30
KRW-RENDER,2025-01-23T10:30:00,2025-01-23T19:30:00,10240,10240,10170,10230,1737629928580,159552108.5895644,15637.50650648,30
